,email,q1,q2,q3,q4,q5
106,10,"routeing and timing both were fine start from HK, condition inside the plan is fine, better space.",1,1,"services, condition inside the plan.","price cheaper, more offer at miles earn, more opportunities to get redeem"
107,5,"i’ll recommend my friends, i let them choose by providing information that they interested in",2,5,i can redeem flights online rather than just sit next to phone & waiting for somebody to answer my c,upgrade computer hardware & software in order to make redemption with more flexibility & faster
108,10,Easy to get help and ease to use the miles.,7,7,,
109,8,,4,6,,
110,8,因為這是最方便儲里數的一個飛行里數計劃,5,1,有很多不同的機票組合、演唱會門票、禮品給人兌換，選擇很多！加上今年更與銀行聯乘推薦信用卡，非常驚喜！,如果可以加設於網上兌換機票，將會更方便！
111,7,Easy to earn points to redeem tickets,6,2,Cover the good routing for redeem tickets,Make redeem easier and get more chance to redeem tickets in Sapporo flight
112,10,,5,6,,
113,7,,4,3,,
114,10,The most flexible and fast way to earn miles,3,3,Multiple earn and double dip alternatives to accelerate the mileage acculumation,Mobile application functions and user interface got lot of room for improvement
115,7,It's relatively easy to earn Asia Miles but very difficult to redeem them.,6,2,Being able to redeem flights.,Work with Cathay to make more flights available.  We always have to book one year in advance.
116,10,it allow me to earn and fly for free,7,7,free flights with good airlines,more discounts offers for flights reward redemption
117,7,"very hard to redeem ticket even though you have a lot of miles, and very short expiry date.",3,1,"hotline staffs, they are very friendly","the new system (classification and calculation) is bad, just make it even hard to redeem a ticket !"
118,9,,5,3,,
119,10,,2,3,Redeem air tickets.,
120,8,,3,3,,
121,10,I have a very good experiences with Asia MIles.  I  enjoyed very much being a member  of Asia Miles.,7,7,imCan use  the reward points for extra travel  or holidays.,"Increasing more restaurants, hotels,  theatres, & other entertainment events to earn reward points."
122,8,Valued to redeem ticket,5,6,Redeem ticket,Reserved more ticket for redeem
123,7,,6,3,,
124,7,Asia Miles has been serving me well but not to an excellent level.,5,5,Free air tickets,Get more operators to answer our phones
125,10,,7,4,"Good offer for the flight ticket, reasonable",Password too.difficult to change
126,5,,4,1,,
127,8,,4,4,,
128,7,,6,2,,
129,9,"Useful rewards, simple operation.",5,4,Many partners that fit my spending habit.,Make redemption of flights easier with airline partners.
130,5,"Other than upgrades (which is difficult to get), most commercial offerings are not of much interest",5,1,,
131,10,Good experience in calling hotline for upgrade and redemption.,6,7,"Compare to other clubs, Asia miles's customer support is better and friendly than others","Organise activities, such as golf games, for mileage usuage"
132,0,Long waiting time,2,3,,Shorter waiting time
133,6,,4,5,,
134,7,good way to redeem air tickets,5,5,redeem air tickets,"more ways to earn
more promotion"
135,1,Virtually impossible to redeem miles when necessary,5,1,Easy to earn,Allocate more seats for redemption tickets and upgrades
136,8,Easy to earn miles but difficult to redeem flights,6,2,Local airlines and part of One World alliance,"1. Offer more seats for flight redemption
2. Improve hotline answering"
137,10,"Besides,for flight sector,Hv many different varieties  for redemptions!",5,6,Easy for redemptions,Discount for miles
138,6,It would be better if no additional charge on changing itinerary.,6,2,Easy to earn mileage,The expiration date can be longer and no additional charge on changing itinerary.
139,8,很多食肆和平時信用卡消費均能賺取miles,6,3,網上兌換程序簡單,"兌換機票的名額太少, 有時早一年也不能兌換, 熱線等候時間太長"
140,7,什麼產品當然自己用過覺得有用和實用啦。,5,2,聯絡你們的方法太難及覆雜了。,早近新的改革末免有些刁難舊客戶。
141,7,"I try to redeem flight recently but on waitlist, at last I gave up and buy the ticket instead.",6,1,A lot of items to choose for.,involve more airlines
142,10,Free flight tickets and accommodation,4,4,,
143,5,"The point is redeemed the air ticket mainly. But now, the ticket price is more reasonable.",5,5,Can redeem the multi-city ticket online.,same as above
144,8,,5,,Redeem miles,Make more opportunities to earn miles
145,8,"All in all, it is a great program that allows members to reap a wide range of rewards.",5,5,Wide range of rewards and many ways to earn miles.,Website could more user friendly as it's sometimes confusing to navigate.
146,7,,4,3,from creedit card points to redeem Air ticket,"enough man-power to answer the phone call, then we dont have to wait for over hours"
147,7,,4,2,,
148,10,user friendly,5,3,mileage,lower the redeem points
149,10,can use the mileage to redeem air tickets or hotels,5,2,redeem air tickets,"make it easier and more chance to redeem; 
high mileage members have priority to redeem"
150,10,"Easy to use, redeem tickets. Never had a problem.",5,7,Redemption of air tickets,
151,7,,3,5,,It's better if there're more products that we can collect in store to shorten the delivery time.
152,5,,5,3,,
153,6,想一齊去儲分去旅行,4,4,,
154,10,This was amazing airline programme and it's very convenient to redeem the air ticket from CX website,5,7,Many choices on CX flights,More hotline staff to shorten the waiting time
155,10,飲食遊玩都可以儲分，又可換機票，何樂而不為。,5,4,吃渴玩樂也能儲分,開拓更多商戶
156,8,Generally OK service,4,3,website access,Need to be easier to redeem flight tickets
157,2,The fare is very confusing and hard to tracking to match point.. It's over complex now,1,1,Service,More flexibility
158,3,,5,1,,
159,10,,5,5,for travel,Extend Asia Miles to Shopping at all shops including Super Market
160,7,,5,5,,
161,9,,7,7,,
162,0,"2 programmes Marco Polo and Asia miles is silly and confusing
Very difficult to redeem miles",4,1,Nothing,Stop existing
163,5,,6,2,Longer period for redemption.,Very very hard to get in contact with Asia Miles by phone. Always busy.
164,8,,1,3,,
165,8,Direct way to redeem air tickets,5,5,Ticket redemption,"Open up more choices to redeem tickets, say partly miles, partly cash"
166,8,,5,5,,
167,6,,5,3,,Online redemption of all one world members flights
168,7,,3,2,,
169,10,Very helpful CS and can get me good deals in upgrading my flight,6,7,,
170,8,can use the point to change ticket,3,4,we can use visa and then collect points,can have join account from different bank and wave the fee to change points
171,7,It's quite good but nothing amazing,4,4,,
172,10,,5,6,,
173,8,Redemption of travelling miles is way too difficult,7,1,Free tickets for long haul,Provide more seats for airline redemption
174,3,Use of miles is frustrating.  Airlines limit availability and increase prices (only some categories),4,1,,Make it easier to redeem miles.  Stop jacking up fare price before using upgrade miles.
175,10,"Very well organised, lots of choices",6,6,Easy to understand,Less waiting time on phone service
176,10,,5,5,Easy to earn milesf,
177,1,Most of your offers if not all are of no interest to me.,3,4,Not sure. I am CX card member. The credit card company has me move miles to Asia miles to redeem,Make offers that fit and crest better value offers.
178,10,There are many ways to earn asia miles and a lot of items to redeem besides air tickets.,6,5,"Redeem CX tickets, lots of destinations to choose from.",Hotline is too difficult to get through.
179,7,,4,2,,降低兑換里數、。
180,1,,7,1,It promises the ability to redeem Asia Miles for upgrades on flights on member carriers.,Deliver on its promise. Unlike in the past it is now impossible to upgrade flights using AM.
181,7,,4,3,,More miles earned can be translated to more Club Points.
182,8,Award tickets and upgrades are difficult to secure,7,3,,
183,7,,4,2,,
184,8,,3,1,,
185,0,"機票已經難book,越少人book越好",5,1,換機票積分尚算合理,應可以免費隨意轉讓或加減兌換名單
186,7,not easy to redeem flight award,4,2,may redeem flight award,make it easier to redeem flight award
187,7,Because no more contact or communications after signing up. It is so distant off from customers,6,5,,More proactive in customer contact. Let members understand the benefits and may do more business.
188,7,,4,5,,
189,10,,3,7,,
190,7,We can use the credit points to exchange for a short trip ticket,4,4,Redemption of air ticket,Lower the point requirement for some real short flight eg HK - Taiwan
191,5,,1,1,,
192,5,The benefits are decreasing and miles expire quickly. Also very difficult to redeem peak tickets,3,4,,No / longer expiry dates for tickets. More seats available in peak season for redemption
193,9,"common nowadays people is already enrolled in one or more airmile programmes, including Asia miles",6,6,you spend and you earn points.,"to me, it's rather costly to redeem.  You may consider giving more
offers."
194,7,,4,4,,
195,6,個人喜歡,1,4,無,不適用
196,6,Not the best frequent flyer programme I have ever seen but useful enough.,6,4,Flights,More variety and ease to redeem
197,10,,4,4,,
198,0,,1,3,,
199,5,,4,3,,
200,10,I think Asia Miles is very well developed that it is easy to earn and redeem,7,7,covers most of the routes I want to go,reduce waiting time for hotline no!
201,8,,2,3,,
202,8,"Compare with BA Avios, Asia miles requires more points for redemption of the same destination",5,5,,Lower the point requirement for ticket redemption -
203,7,Asia miles could redeem rewards for free  meals from different restaurants.,4,6,Redeem rewards for free meals,"In future,  group tickets bought from travel agents would also redeem rewards."
204,6,Because I collect miles for flight upgrades and this has become more difficult,5,5,The credit card relationships that have auto conversion,Develop more opportunities for redeeming miles for flights
205,8,,4,5,,
206,9,it is fairly easy to earn miles through spending on a variety of activities and spend it afterwards,4,4,earning miles while dining,expand the scope of outlets to make earning easier
207,5,就算是多個月前預訂 也未能兌換里數,3,2,,
208,10,To earn miles for travel is not to be missed,5,7,Free travel,"To ,make earning flight miles easier"
209,10,因為好方便,1,1,,
210,9,Good flight routes and mileage programme,5,4,many ways to earn miles,more mileage seats available on flights
211,2,I can never redeem flights I want unless it is a year in advance.,6,1,,Earn rate Asia Miles is more expensive than international programs and the redemption costs more.
212,7,"It is a great mileage program, however some changes in recent years make it less friendly to users",4,4,Range of flights available for redemption,Allow easier self management rather than always need to call hotlines
213,10,,4,4,,
214,8,可用不同方式賺取里數，方便，容易,6,5,熱線服務員態度好，helpful,電話熱線等候時間過長
215,10,,4,2,,
216,0,,4,4,I think you should ask more shops to join your plan...That we can earn miles easier.,
217,9,"Easy to gain, and tailor-make to my needs.",6,5,Air tickets,can include sea cruises
218,5,,5,4,,"It would do more user friendly if the order of first, middle and last names have some flexibility."
219,9,"easy to earn miles, more program to use miles like concert ticket",5,5,redeem concert ticket,CS hot line always engage
220,4,Service has been deteriorating.  It used to be my prime airline and I was proud of it. But not anymo,6,4,Linked to credit card.,Not cater to top class flyers only
221,10,saves money,4,6,"Since money has to be spent, might as well earn miles.",release more seats on popular flights so that I do have to book it so much in advance
222,3,,2,3,,you should make changing tickets easier and not giving extra charges.
223,10,,6,6,,
224,7,green silver的會員其實和沒會藉沒太大分別,5,2,改制後其實沒有太多好處,
225,10,Can earn points from purchase to enjoy flight ticket discount without any additional charge.,5,3,Promotion and online survey is outstanding to understand customers need,To extent the asia miles program coverage
226,9,"普通消費都可儲里數,換機票",3,6,can redeem ticket to many countries,Should be easier to get the miles
227,7,方便登機，尤其在往返國內航班，服務基本滿意!,2,3,優惠尚算多元化!,賺取積分及計法上需優化及調整!
228,10,It is good to accumulate mileage for air ticket and other gifts,5,4,Air ticket redemption,The timing for air ticket redemption is not flexible
229,9,the programme is quite attractive,5,6,"Easy to join, increasing number of source of miles",The way how miles are translated into usage of different product segments are ambiguous.
230,8,Variety of ways to earn points,6,4,Quite a lot of ways to earn points.,Be happy if more flight rewards are available and more flexible
231,6,,3,3,,
232,7,,2,5,,
233,9,,1,1,,
234,1,Too less benifit,5,2,none,"Lower the miles required for exchange other gifts, easier ways to exchange miles/gifts"
235,10,Useful and get free air tic,4,4,Earn points from credit card,More shops join AM
236,10,開心share~,4,4,可換多程地點,可同多些航空公司合作
237,10,,5,7,會員行李重量優待,會員訂機票有折扣
238,2,No one answers the phone,4,1,Nothing special you have a monolopy,Have people answer the phone
239,10,對喜歡旅遊的朋友來說，能以哩數換取機票或升級機艙客位是不錯的選擇。,4,4,1. Customer Service staff are professional and have very good attitudes and polite.,"1. Increase channels for earning asiamiles
2. Extend expiry period from 3 to 5 year"
240,5,因為大部份人已經有Asia miles！推薦不到！,4,4,集合多些公司！航空公司，酒店！,積分無限期！
241,9,,7,7,,
242,7,,3,2,Cathay Pacific,Instant flight reward bookings
243,3,The new format of earning points is a selling out!,2,1,,making more available seats for redeeming tickets.
244,7,,3,2,,
245,6,"Using my Asia Miles to book flights is too hard, with too few flights available for redemption.",7,3,The link with my Cathay pacific Elite Amex credit card.,The availability of redemption flights.
246,9,Very helpful and friendly,7,7,User friendly,Provides more promotion
247,7,,5,4,,
248,0,,4,1,,
249,5,very limited availability for reward flights. Miles expire. CS hotline takes hours to connect,4,1,Promotions are sometimes ok. CS through facebook is ok.,INCREASE NUMBER OF REDEEMABLE FLIGHTS AND CLASSES. LET US REDEEM ONEWORLD FLIGHTS ONLINE
250,10,,5,6,,
251,7,It is an easy program yet sometimes frustrating to get the flight you want,7,6,Country coverage,Be more flexible on changing the schedule after confirming a reward flight.
252,6,,2,1,,
253,1,打電話問親asiaｍｉｌｅｓ　都係無答案,3,1,ｎ／ａ,ａｓｉａ　ｍｉｌｅｓ　ｐｏｉｎｔ唔好拖咁耐...
254,8,attentive & always updating your services,5,5,"Variety of redemption in addition to air tickets
On line resources/shops",More variety in on line shops
255,8,很易換到機票,7,6,Nil,沒怎麼！！
256,8,Some banks charge fees for coverting points to mileage.,5,5,Long validity of the mileage.,"Lifting the restriction on the no of persons sharing the earned mileage, allow trasnferring mileage."
257,8,"可以在日常的消費賺取里數來換取免費機票, 升級服務或禮品等, 絕對值得推薦!",5,3,"定期有特別推廣活動, 另會員有更多額外機會更快賺取里數.","可兌換機票的機會比率太抵, 現時廉航票價十分優惠, 與不段消費賺取得來的里數又未能輕鬆兌換心儀機票, 對比下相當不化算!"
258,10,,7,5,,
259,5,,4,4,"can redeem flight or dining
can use the marco polo club",Why can’t provide a column with 2 member no. when redeem Flight together for 2 person in one time?
260,9,I love Asiamiles because it has many partners  and easy to accumulate mileages.,5,6,Many special promotion benefits,
261,8,"Convenient,versatile",4,5,Pretty good staff manner,Answer enquiry call quicker i.e. Shorten waiting time particularly when checking with airlines
262,10,"It has a large variety of reward that you can choose.
It's free of charge.",5,4,large variety of reward to chooe without any charges,can increase it's business partner so that the coverage will be wider
263,4,There is very little value in the frequent flyer programme.,1,1,Difficult to say - I have never really seen benefits,Try and identify opportunities to engage with your members - it is too difficult to get privileges
264,9,As I have been doing the recommendation all the time.,4,5,"Get air tickets, or upgrade the flight classes.",More participants from visa/master. The cards that I hold did not offer asia miles conversion.
265,9,因為可以換機票,2,4,,擴闊對換機票的機會，增設多一些少量分數已可對換的禮品
266,10,,2,5,,
267,5,,4,2,,
268,5,no comment,3,3,no comment,redeem easier
269,10,I found it is the best among other service provider. Its coverage suits most of my traveling locatio,4,5,You can redeem gifts instead of air tickets which gives us more choices.,Reduce the gap for promoting from green to silver grade membership.
270,10,,7,4,這計劃本身就是好,致電話給 Asia Miles 時，很久才有人接電話，這方面要改善。
271,8,Can redeem free tickets. There are gifts I like as well,5,5,Many partners,Secure even more partners
272,8,Pretty good but not quite perfect.,6,4,Broad offerings,More tickets for redemption.
273,10,,3,4,,
274,5,Because I'm not a huge fan not unhappy with it.,4,4,Flight tickets,Easier way to get flight tickets
275,6,熱線要等很長時間,2,1,,
276,7,,3,4,Can exchange air tickets,Add online customer service representative
277,10,Cover a lot of places,7,7,Convenient to call,All airlines should have the set of redemption system
278,5,Cathay is comparatively expensive.  Takes quite long to earn enough miles.,4,5,,
279,10,容易數分,6,6,服務,
280,9,The ease of which to get miles and use them.,7,7,,
281,7,,3,3,,
282,7,因為現在世界各地很多信用咭公司都舆不同的航空公司，將簽帳的積分對換為飛行里數，而現在很多人都喜歡購物時採用信用卡付款。亦不用帶那麼多現金在身。,2,2,比以前增加了很多選擇國家的飛行里數多，,訂購機位有限，預留的位也不多，很多時都花時間去上網查詢，而影響了正常工作，貴公司亦可安排一些工作人員與客戶互動，傱而減少了不便，
283,7,"Without CXMP, then it's actually not too bad. But the way they are running MP hurts Asia Miles",3,3,"Honestly nothing stands out, being members of few other FFP","Perhaps better availability but again to my original point, it may be out of your control"
284,7,,7,1,,
285,10,Good to introduce to my friends.,2,2,,
286,10,,5,6,,
287,7,,3,3,,
288,4,,4,3,,
289,9,,2,2,,
290,7,Customer service is good,3,4,Can redeem the flight tickets,More promotions
291,8,Good choice of ways to use Asia Miles points.,2,3,Good choice of redemption.,Make it easier to contact through email. Number and password hard to get into redemption options.
292,10,Good and efficient system,7,7,Links to many,
293,9,"good service, but the expiration of miles (too soon) and would be good to have more airlines join.",6,6,Use for upgrades and flights,"Lengthen expiry dates
Increase airline coverage"
294,8,,2,4,,機票太多等級，不知道有沒有飛行里數。
295,4,,4,1,Redemption,easier to redeem flights. I lost Asia miles coz didn't notice they expired!! pls contact us or alert
296,9,,7,7,,
297,8,,5,5,,
298,8,里數兌換機票都幾化算,3,3,系統也頗為清淅,"多些賺取里數的途徑。換取航班里數降低少許, 尤其現在的機票便宜了很多, 用里數換機票變得相對比較唔有著數"
299,5,,3,3,機票改變日子也算方便,電話十分難接通
300,5,Not a flexible redemption programme compared to comparible competitors,5,3,Being able to redeem some good product offerings from time to time,Make air miles redemption easier
301,8,,5,4,Can earn the mileage when I'm using my credit card to spending money,It is hard to redeem the ticket than the past
302,10,賺取的禮物總類很多。,5,6,換取禮物程序簡單快捷。,太多電郵廣告。
303,7,多類形優惠及資訊,5,5,不斷有新優惠,用積分換購禮物訂立太高
304,10,因某些信用卡積分兌換很方便、很優惠,5,5,積分折扣兌換機票,積分效期長點會更好
305,10,,5,5,,
306,6,可以儲分換禮物,2,2,,Not user friendly
307,10,"朋友可透過乘搭亞洲萬里通所屬航空公司貯存里程, 再進而換取機票。",4,5,貯存里程換取機票,"多些獎勵計劃, 如十程送一程等"
308,9,,6,5,,
309,8,The rewards are useful. The customer service is good. The customer journey is reasonably efficient.,5,5,It is affiliated to One World and it has a large network of non airline partners.,Improve customer journey for claiming miles with customers with dual nationality and different names
310,10,It is a really good programme.,5,4,,
311,5,,3,2,,機位十分少，我一年前訂位都沒有！
312,3,so trouble,2,1,好少機票能兌換 .....已經早3百天前 book ...也沒有,加多d兌換機票
313,10,,7,6,to reduce flying costs !,stay like you are !
314,0,Because the program has become too confusing and the booking scheme is harder to upgrade.,4,1,I have not had a good experience recently.  Before yes.,More helpful when families want to redeem miles together.  To be able to not keep them on waitlist.
315,2,經常兌換不到機票，計劃形同虛設。,5,1,,
316,7,,5,5,,
317,5,Not very easy to earn and redeem miles.,3,2,Website is easy to use.,"I think there should be no charge for updating the redemption group, if it is done online."
318,8,我覺得無防介紹給别人,6,5,推廣做得很好,沒有
319,5,Is very difficult to redeem the ticket during the peak season. Even in earlier stages (365 days).,4,1,,
320,7,"When talking about travellng, always mention Asia miles or any other airlines membership cards",7,3,No comment as never redeem anything,NIL
321,10,,5,5,,
322,10,,6,7,Ease of use,More generous with upgrading for senior members
323,8,Can travel with free air tickets,4,4,Flexible...Can change bookings...,The hotline is always engaged.
324,8,"I did not join other mileage program before just Asia Miles.  No comparison.  However, It's common.",4,5,Can earn mileage from different sectors but not only taking flight.,Some airlines can earn mileage at their own program but may be none when claiming at Asia miles.
325,8,cover most of the hotspots I travel,5,3,cover most of the hotspots I travel,shorten the waiting time to redeem the flights by phone
326,6,"Ever since you have applied charges to flights changes on issued tickets, not the same Asia Miles!",5,5,More choices on redemption items.,I really believe that AM is trying to push away customers by applying more and more harsh T&C.
327,8,Mileage ticket raises desire to travel around the world.,5,4,I redeemed concert tickets on front row but with extra high mileage points,Online redemption cannot fulfill multi stop selection. It charged me two single journey instead.
328,10,"For diners and frequent travelers, it is quite easy for them to accrual mileage.",5,2,There are quite a number of destinations to choose from.,1. More quota for ticket redemption in peak season. 2. Reserve ticket a year ago and in wait list!
329,9,,4,5,,
330,9,The overall services by AM is very attractive and professional.,7,7,Excellent to earn AM from multiple ways and redeem flight tickets,A bit long waiting queue in phone call
331,7,"I like the benefits you can get from Asia miles but , the offer can be better",5,7,Redeeming flight tickets,Better promotion offers
332,8,,3,3,,
333,9,"I see Asia Miles membership as a win win, i.e. it can only benefit me, even if it takes a long time!",5,5,High profile in Hong Kong,More value for miles!
334,8,,4,4,,
335,3,,5,3,,
336,10,I have been taking CX and KA regularly over the past 20+ years with pleasant experience,4,4,Conversion from credit card points,Alliance with more PR Chinese based airlines.
337,7,The new program is difficult to understand. Confusing.,2,2,Separate line at the gate to board,"Make members feel welcome to be member again, thru easier to understand point system."
338,7,伙伴航空公司並不多，以往曾乘搭的航班許多都不屬於亞洲萬里通。,3,5,登記里數手續簡單。,請曾加多些伙伴公司和能夠賺取里數的商店。
339,6,"Asia Miles is a confusing brand alongside Marco Polo, which has no clear connection. Hence the brand",4,5,,Get clarity on what you are vs the Marco Polo brand. Get your marcoms synced
340,3,"The shops, restaurants and retailers who joined Asia Miles are often being overlooked and forgot to",3,2,,
341,2,Redemptions are hard. No family plan in MarcoPolo. No life time gold status.,5,1,,There is absolutely no consolation for membership tenor.
342,7,"1.Difficult to redeem miles. 
2. Miles have expiry date.",6,3,Earning miles can be well integrated into daily activities.,1.
343,7,very confusing to understand how to get free flights using air miles,7,4,,make the redeeming of rewards simple to understand
344,6,,4,4,,
345,10,,7,5,"Lounge access, flight upgrades",More frequent flight upgrades
346,8,,3,6,,
